C1,C2,Bounty,Strength
5s,Js,4,0.5425
6s,Ts,8,0.5425
6s,Kh,T,0.5425
7s,Jh,6,0.5425
5s,Ts,7,0.541875
6s,Qs,T,0.541875
8s,9s,9,0.541875
5s,Js,6,0.54125
2s,Ah,9,0.540625
3s,Ks,Q,0.540625
7s,Kh,K,0.540625
3s,Ah,K,0.54
6s,Qh,Q,0.54
6s,Ah,7,0.54
2s,Js,5,0.539375
4s,Kh,3,0.539375
7s,Js,5,0.539375
3s,3h,A,0.53875
4s,Kh,4,0.53875
5s,Js,5,0.53875
5s,Ks,T,0.53875
3s,Qh,7,0.538125
7s,Ts,2,0.538125
8s,Kh,2,0.538125
5s,Qh,5,0.5375
5s,Qs,7,0.5375
8s,Jh,7,0.5375
8s,Jh,J,0.5375
8s,Qh,4,0.5375
9s,Ts,3,0.5375
9s,Jh,3,0.5375
5s,Qh,A,0.536875
7s,Qs,T,0.536875
7s,Kh,T,0.536875
5s,Qs,Q,0.53625
7s,Js,2,0.53625
8s,Qh,K,0.53625
2s,Ks,J,0.535625
3s,Js,Q,0.535625
3s,Ks,5,0.535625
4s,Ks,7,0.535625
5s,Qs,2,0.535625
6s,Ts,J,0.535625
7s,Qs,5,0.535625
4s,4h,6,0.535
4s,Kh,T,0.535
5s,Jh,K,0.535
6s,Jh,9,0.535
7s,Qs,8,0.535
9s,Qs,3,0.535
9s,Qh,J,0.535
Js,Qs,7,0.535
3s,3h,9,0.534375
7s,Qs,7,0.534375
9s,Qs,K,0.534375
3s,3h,7,0.53375
4s,Kh,5,0.53375
7s,Qh,4,0.53375
9s,Jh,9,0.53375
6s,Jh,3,0.533125
8s,Jh,6,0.533125
8s,Qs,J,0.533125
8s,Kh,A,0.533125
4s,Ks,T,0.5325
8s,Jh,3,0.5325
Js,Kh,K,0.5325
2s,2h,K,0.531875
3s,Kh,K,0.531875
6s,Qs,A,0.531875
7s,9s,2,0.531875
7s,Th,9,0.531875
7s,Js,6,0.531875
8s,9s,8,0.531875
8s,Qh,3,0.531875
8s,Qs,6,0.53125
2s,Ks,6,0.530625
3s,Kh,9,0.530625
5s,Qs,9,0.530625
9s,Ts,2,0.530625
9s,Qh,6,0.530625
3s,Ah,T,0.53
6s,Qs,9,0.53
4s,4h,4,0.529375
5s,Js,Q,0.529375
7s,Ah,9,0.529375
4s,Ks,Q,0.52875
6s,Js,K,0.52875
2s,Kh,4,0.528125
6s,Ts,4,0.528125
7s,Th,8,0.528125
2s,Ks,A,0.5275
4s,Js,3,0.5275
4s,Kh,8,0.5275
4s,Ah,K,0.5275
6s,8s,K,0.5275
6s,Qh,9,0.5275
8s,Jh,K,0.5275
2s,Kh,K,0.526875
7s,Qs,4,0.526875
7s,Kh,4,0.526875
Ts,Js,4,0.526875
2s,Ks,K,0.52625
3s,Ah,A,0.52625
4s,Js,Q,0.525625
7s,Th,2,0.525625
3s,Qs,2,0.525
3s,Qs,4,0.525
4s,Kh,6,0.525
6s,Qs,6,0.525
7s,Th,A,0.525
5s,Ah,5,0.524375
9s,Th,6,0.524375
2s,Qs,J,0.52375
4s,Js,6,0.52375
6s,Ts,6,0.52375
7s,Qs,6,0.52375
8s,Js,8,0.52375
8s,Qs,A,0.52375
9s,Qh,Q,0.52375
7s,Qs,J,0.523125
8s,Js,T,0.523125
2s,Js,7,0.5225
5s,9s,7,0.5225
4s,Ts,A,0.521875
4s,Ks,3,0.521875
7s,9s,4,0.521875
8s,Th,2,0.521875
8s,Ts,T,0.521875
2s,Qs,Q,0.52125
3s,Qh,T,0.52125
6s,9s,8,0.52125
6s,Th,5,0.52125
6s,Js,7,0.52125
6s,Qs,J,0.52125
7s,Th,3,0.52125
7s,Ks,2,0.52125
8s,Th,Q,0.52125
9s,Qh,8,0.52125
5s,Kh,3,0.520625
8s,Qs,4,0.520625
2s,Ah,A,0.52
