C1,C2,Bounty,Strength
Ts,Jh,K,0.6466
4s,9s,4,0.6464
3s,Ah,K,0.64635
8s,Qs,7,0.6463
7s,Kh,A,0.64625
5s,Th,T,0.6461
8s,Qs,5,0.64605
7s,Kh,6,0.646
3s,Ah,2,0.6458
5s,Ks,4,0.64565
Ts,Jh,A,0.64555
9s,Js,6,0.6455
9s,Qh,4,0.6455
8s,Qs,J,0.64545
9s,Js,2,0.64535
8s,Kh,4,0.64465
8s,Kh,Q,0.6446
Ts,Jh,8,0.64455
5s,8s,5,0.64425
4s,Ks,8,0.6442
9s,Qh,A,0.64415
4s,Th,T,0.6441
4s,Ks,T,0.6441
3s,Ah,7,0.64395
8s,Js,T,0.6438
3s,Ah,8,0.64355
7s,Kh,Q,0.6435
8s,Kh,J,0.6434
9s,Js,5,0.64305
9s,Ts,Q,0.6428
9s,Qh,3,0.6427
4s,Th,4,0.6426
9s,Qh,2,0.6426
2s,Ah,Q,0.64245
9s,Qh,7,0.64235
4s,9s,9,0.6422
3s,3h,2,0.6419
3s,9s,3,0.6417
4s,Ks,J,0.64085
7s,Kh,5,0.6407
3s,Ah,6,0.64065
Ts,Jh,7,0.64065
2s,Ah,8,0.64045
3s,Ah,5,0.64045
7s,Kh,2,0.6404
4s,Ks,6,0.6401
Ts,Jh,4,0.6399
7s,Kh,4,0.6393
9s,Js,3,0.6393
Ts,Jh,2,0.63915
2s,Ah,5,0.63895
4s,Ks,2,0.6388
Ts,Jh,3,0.6387
8s,Qh,J,0.6386
7s,Kh,8,0.6383
3s,9s,9,0.6376
9s,Qh,6,0.6373
9s,Js,K,0.637
7s,Qs,A,0.6369
3s,3h,T,0.6368
2s,Ah,9,0.63675
7s,Kh,J,0.63665
3s,Ks,2,0.636
9s,Ts,4,0.636
8s,Js,A,0.6355
6s,Kh,5,0.6354
4s,Ks,9,0.63535
8s,Qh,K,0.6353
3s,3h,A,0.6352
9s,Qh,5,0.6352
Ts,Jh,6,0.6352
9s,Ts,A,0.63515
9s,Js,4,0.6348
4s,Ks,5,0.63455
2s,Ks,T,0.6345
7s,Kh,9,0.63425
Ts,Jh,5,0.6342
5s,Ks,T,0.63385
9s,Qh,J,0.63385
2s,Ah,J,0.6334
4s,Ks,3,0.63335
6s,Kh,A,0.6333
7s,Qs,J,0.6332
9s,Ts,8,0.6331
9s,Jh,T,0.633
5s,6s,5,0.63275
7s,Qs,K,0.63275
9s,Ts,7,0.63275
5s,9h,9,0.6327
5s,Kh,3,0.63265
2s,Ah,3,0.6326
7s,Qs,6,0.6326
9s,Ts,J,0.6321
2s,Ah,K,0.6318
6s,Kh,7,0.6317
7s,Kh,3,0.6317
6s,Kh,4,0.6316
5s,7s,5,0.63145
7s,Kh,T,0.6312
3s,Ks,J,0.63085
4s,Ks,7,0.63085
6s,Qs,5,0.6303
6s,7h,7,0.63
3s,Ks,7,0.6299
6s,8h,6,0.6299
2s,Ah,7,0.62965
3s,Ks,9,0.62955
8s,Js,Q,0.62945
6s,Kh,T,0.62935
9s,Ts,6,0.62925
8s,Js,3,0.62905
7s,Qs,5,0.6289
6s,Kh,8,0.62885
3s,3h,6,0.6288
4s,Ks,Q,0.62865
3s,3h,J,0.6283
8s,Js,2,0.62815
5s,6s,6,0.62745
3s,3h,4,0.6274
5s,Kh,4,0.62735
2s,Ah,6,0.6273
7s,Qs,4,0.62725
8s,Js,K,0.62715
6s,Kh,2,0.6271
7s,Qs,3,0.6269
6s,Kh,9,0.62685
3s,3h,8,0.62675
3s,Ks,6,0.62675
5s,Kh,A,0.6266
3s,Th,3,0.62655
3s,3h,7,0.62645
3s,3h,K,0.62635
9s,Ts,3,0.6261
3s,Ks,4,0.6259
3s,Ks,A,0.6258
3s,Th,T,0.6255
7s,Qs,9,0.6255
3s,Ks,T,0.62515
6s,Kh,J,0.62495
3s,Ks,Q,0.62465
8s,Qh,4,0.62455
7s,Qs,T,0.6245
8s,Qh,9,0.6244
7s,Qs,2,0.62435
3s,3h,Q,0.62415
3s,Ks,5,0.62415
9s,Jh,Q,0.62415
6s,Qs,3,0.62395
8s,Js,9,0.62335
5s,Qs,K,0.6233
6s,7h,6,0.6233
6s,Qs,4,0.62305
6s,Qs,2,0.6229
6s,Qs,K,0.6229
3s,3h,5,0.6228
9s,Ts,K,0.6226
3s,3h,9,0.6225
6s,Qs,T,0.6221
8s,Js,7,0.62205
8s,Js,6,0.6219
2s,9s,9,0.6217
6s,Qs,8,0.6217
2s,Ks,7,0.6215
7s,Js,T,0.6215
2s,Ks,A,0.62085
8s,Qh,3,0.6207
6s,Qs,9,0.62045
2s,Ks,Q,0.6203
2s,Ks,9,0.62015
4s,8s,4,0.6201
5s,Kh,T,0.62
8s,Js,5,0.61995
9s,Jh,8,0.6199
6s,Kh,Q,0.61975
8s,Qh,7,0.61975
5s,Kh,6,0.6196
9s,Jh,3,0.61955
7s,Qs,8,0.6192
4s,Kh,A,0.61885
